Estructura,Tamaño,Milisegundos,Bytes
Sufix Array,2000000,518,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,516,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,517,16000000
Sufix Array,2000000,516,16000000
Sufix Array,2000000,516,16000000
Sufix Array,2000000,516,16000000
Sufix Array,2000000,516,16000000
Sufix Array,2000000,516,16000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,826,24000000
Sufix Array,3000000,826,24000000
Sufix Array,3000000,826,24000000
Sufix Array,3000000,826,24000000
Sufix Array,3000000,827,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,825,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,825,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,827,24000000
Sufix Array,3000000,826,24000000
Sufix Array,3000000,826,24000000
Sufix Array,3000000,826,24000000
Sufix Array,3000000,825,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,818,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,819,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,821,24000000
Sufix Array,3000000,820,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,824,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,823,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,822,24000000
Sufix Array,3000000,821,24000000
Sufix Array,4000000,1109,32000000
Sufix Array,4000000,1107,32000000
Sufix Array,4000000,1107,32000000
