Estructura,Tamaño,Segundos,Bytes
SA + LCP,3000000,2242,47999992
SA + LCP,3000000,2232,47999992
SA + LCP,3000000,2232,47999992
SA + LCP,3000000,2241,47999992
SA + LCP,3000000,2247,47999992
SA + LCP,3000000,2239,47999992
SA + LCP,3000000,2251,47999992
SA + LCP,3000000,2247,47999992
SA + LCP,3000000,2260,47999992
SA + LCP,3000000,2241,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,3000000,2240,47999992
SA + LCP,3000000,2250,47999992
SA + LCP,3000000,2241,47999992
SA + LCP,3000000,2243,47999992
SA + LCP,3000000,2250,47999992
SA + LCP,3000000,2244,47999992
SA + LCP,3000000,2251,47999992
SA + LCP,3000000,2255,47999992
SA + LCP,3000000,2241,47999992
SA + LCP,3000000,2249,47999992
SA + LCP,3000000,2248,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,3000000,2239,47999992
SA + LCP,3000000,2248,47999992
SA + LCP,3000000,2237,47999992
SA + LCP,3000000,2249,47999992
SA + LCP,3000000,2237,47999992
SA + LCP,3000000,2252,47999992
SA + LCP,3000000,2245,47999992
SA + LCP,3000000,2258,47999992
SA + LCP,3000000,2242,47999992
SA + LCP,3000000,2245,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,3000000,2244,47999992
SA + LCP,3000000,2243,47999992
SA + LCP,3000000,2248,47999992
SA + LCP,3000000,2253,47999992
SA + LCP,3000000,2234,47999992
SA + LCP,3000000,2237,47999992
SA + LCP,3000000,2235,47999992
SA + LCP,3000000,2244,47999992
SA + LCP,3000000,2241,47999992
SA + LCP,3000000,2241,47999992
SA + LCP,3000000,2245,47999992
SA + LCP,3000000,2240,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,3000000,2243,47999992
SA + LCP,3000000,2249,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,3000000,2241,47999992
SA + LCP,3000000,2259,47999992
SA + LCP,3000000,2250,47999992
SA + LCP,3000000,2253,47999992
SA + LCP,3000000,2250,47999992
SA + LCP,3000000,2248,47999992
SA + LCP,3000000,2251,47999992
SA + LCP,3000000,2251,47999992
SA + LCP,3000000,2252,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,4000000,2688,63999992
SA + LCP,4000000,2692,63999992
SA + LCP,4000000,2685,63999992
SA + LCP,4000000,2681,63999992
SA + LCP,4000000,2679,63999992
SA + LCP,4000000,2670,63999992
SA + LCP,4000000,2671,63999992
SA + LCP,4000000,2673,63999992
SA + LCP,4000000,2678,63999992
SA + LCP,4000000,2691,63999992
SA + LCP,4000000,2756,63999992
SA + LCP,4000000,2692,63999992
SA + LCP,4000000,2700,63999992
