Estructura,Tamaño,Milisegundos,Bytes
SA + LCP,3000000,979,47999992
SA + LCP,3000000,981,47999992
SA + LCP,3000000,978,47999992
SA + LCP,3000000,980,47999992
SA + LCP,3000000,982,47999992
SA + LCP,3000000,977,47999992
SA + LCP,3000000,979,47999992
SA + LCP,3000000,979,47999992
SA + LCP,3000000,979,47999992
SA + LCP,3000000,980,47999992
SA + LCP,3000000,979,47999992
SA + LCP,3000000,980,47999992
SA + LCP,3000000,983,47999992
SA + LCP,3000000,980,47999992
SA + LCP,3000000,981,47999992
SA + LCP,3000000,980,47999992
SA + LCP,3000000,981,47999992
SA + LCP,3000000,978,47999992
SA + LCP,3000000,984,47999992
SA + LCP,3000000,977,47999992
SA + LCP,3000000,998,47999992
SA + LCP,3000000,1035,47999992
SA + LCP,3000000,980,47999992
SA + LCP,3000000,975,47999992
SA + LCP,3000000,977,47999992
SA + LCP,3000000,977,47999992
SA + LCP,3000000,980,47999992
SA + LCP,3000000,976,47999992
SA + LCP,3000000,973,47999992
SA + LCP,3000000,976,47999992
SA + LCP,3000000,972,47999992
SA + LCP,3000000,986,47999992
SA + LCP,3000000,988,47999992
SA + LCP,3000000,992,47999992
SA + LCP,3000000,984,47999992
SA + LCP,3000000,989,47999992
SA + LCP,3000000,986,47999992
SA + LCP,3000000,994,47999992
SA + LCP,3000000,1000,47999992
SA + LCP,3000000,989,47999992
SA + LCP,3000000,988,47999992
SA + LCP,3000000,986,47999992
SA + LCP,3000000,985,47999992
SA + LCP,3000000,979,47999992
SA + LCP,3000000,974,47999992
SA + LCP,3000000,978,47999992
SA + LCP,3000000,976,47999992
SA + LCP,3000000,974,47999992
SA + LCP,3000000,988,47999992
SA + LCP,3000000,991,47999992
SA + LCP,3000000,984,47999992
SA + LCP,3000000,977,47999992
SA + LCP,3000000,971,47999992
SA + LCP,3000000,978,47999992
SA + LCP,3000000,969,47999992
SA + LCP,3000000,971,47999992
SA + LCP,3000000,972,47999992
SA + LCP,3000000,971,47999992
SA + LCP,3000000,973,47999992
SA + LCP,3000000,974,47999992
SA + LCP,3000000,971,47999992
SA + LCP,3000000,985,47999992
SA + LCP,3000000,975,47999992
SA + LCP,3000000,979,47999992
SA + LCP,3000000,981,47999992
SA + LCP,3000000,978,47999992
SA + LCP,3000000,997,47999992
SA + LCP,3000000,990,47999992
SA + LCP,3000000,1007,47999992
SA + LCP,3000000,1002,47999992
SA + LCP,3000000,989,47999992
SA + LCP,3000000,980,47999992
SA + LCP,3000000,987,47999992
SA + LCP,3000000,986,47999992
SA + LCP,3000000,985,47999992
SA + LCP,3000000,989,47999992
SA + LCP,3000000,988,47999992
SA + LCP,3000000,991,47999992
SA + LCP,3000000,991,47999992
SA + LCP,3000000,995,47999992
SA + LCP,3000000,988,47999992
SA + LCP,3000000,996,47999992
SA + LCP,3000000,998,47999992
SA + LCP,3000000,993,47999992
SA + LCP,3000000,993,47999992
SA + LCP,3000000,993,47999992
