Estructura,Tamaño,Milisegundos,Bytes
SA + LCP,3000000,857,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,859,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,859,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,855,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,855,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,859,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,855,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,855,47999992
SA + LCP,3000000,857,47999992
SA + LCP,3000000,856,47999992
SA + LCP,3000000,859,47999992
SA + LCP,3000000,858,47999992
SA + LCP,3000000,856,47999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1165,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1165,63999992
SA + LCP,4000000,1165,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1165,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1165,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1165,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1165,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1167,63999992
