Estructura,Tamaño,Segundos,Bytes
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,627,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,627,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,630,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,630,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,630,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,628,31999992
SA + LCP,2000000,629,31999992
SA + LCP,2000000,629,31999992
